Image,Id,BW,W,H,AR
0000e88ab.jpg,w_f48451c,False,1050,700,1.5
00050a15a.jpg,new_whale,False,1050,525,2.0
0005c1ef8.jpg,new_whale,False,1050,525,2.0
000f0f2bf.jpg,new_whale,False,1050,700,1.5
001c1ac5f.jpg,w_a6f9d33,False,1000,667,1.4992503748125936
001d7450c.jpg,new_whale,True,1050,600,1.75
00200e115.jpg,new_whale,True,1050,600,1.75
002f99f01.jpg,new_whale,False,886,590,1.5016949152542374
0041880bf.jpg,new_whale,True,700,500,1.4
0043da555.jpg,new_whale,False,984,717,1.3723849372384938
00442c882.jpg,w_8cad422,False,918,525,1.7485714285714287
00464ff65.jpg,new_whale,False,1050,768,1.3671875
004775679.jpg,w_13ae3d4,False,1050,525,2.0
004c0f43b.jpg,new_whale,True,1050,600,1.75
004e8ad5b.jpg,w_3de579a,False,1050,700,1.5
004f87702.jpg,w_1d0830e,False,1050,700,1.5
0052ce2f5.jpg,w_2365d55,False,1050,700,1.5
00537ec91.jpg,w_3879fa0,False,1050,700,1.5
00570db6b.jpg,w_9c506f6,False,1050,601,1.7470881863560732
005ce3100.jpg,new_whale,True,1050,600,1.75
00600ce17.jpg,new_whale,True,1050,600,1.75
0067b3a20.jpg,w_c0d11da,False,1050,690,1.5217391304347827
007218187.jpg,new_whale,False,1032,688,1.5
007b62e05.jpg,w_cee684e,False,1050,600,1.75
0085a6bd0.jpg,new_whale,False,912,608,1.5
008bf89fc.jpg,w_6822dbc,False,1050,600,1.75
00910010d.jpg,w_700ebb4,False,1050,700,1.5
00917baa4.jpg,new_whale,False,933,537,1.7374301675977655
009431af0.jpg,w_7a4b2f9,False,963,642,1.5
0095fe89c.jpg,new_whale,True,1050,600,1.75
009687166.jpg,w_778e474,False,1050,630,1.6666666666666667
009c45bc7.jpg,w_2df85e7,False,1050,700,1.5
00a3dd76f.jpg,w_c7cda47,False,1050,700,1.5
00a70e649.jpg,new_whale,False,894,639,1.3990610328638498
00aae723d.jpg,new_whale,False,1050,861,1.2195121951219512
00b7ffb8a.jpg,w_1531bf5,False,1050,600,1.75
00b92e9bf.jpg,w_4e1e04d,True,699,500,1.398
00bc4dade.jpg,w_d6ca28d,False,1050,675,1.5555555555555556
00c59bce9.jpg,w_1260eb5,False,1050,525,2.0
00caa5c60.jpg,w_fccccec,False,1050,700,1.5
00cf9982e.jpg,w_acd217a,False,1050,641,1.6380655226209049
00d1615b1.jpg,new_whale,False,1050,700,1.5
00d4a4967.jpg,new_whale,False,1004,884,1.1357466063348416
00d641885.jpg,w_dd944b7,False,1050,540,1.9444444444444444
00d6cbcbf.jpg,w_6f0cbe3,False,1050,698,1.504297994269341
00d7dc401.jpg,w_6cfa650,False,1050,600,1.75
00d9e8278.jpg,w_1ea5d96,False,900,600,1.5
00dcd026f.jpg,w_914b110,False,1050,700,1.5
00de0f4c8.jpg,new_whale,False,1050,525,2.0
00ded1101.jpg,new_whale,False,1050,600,1.75
00e059776.jpg,new_whale,False,1050,527,1.9924098671726755
00e4afee9.jpg,new_whale,False,1050,562,1.8683274021352314
00e68dc59.jpg,w_bf33ddf,False,1050,653,1.6079632465543645
00e9e5122.jpg,w_0369a5c,False,1050,600,1.75
00ec09075.jpg,new_whale,True,700,500,1.4
00ec13a19.jpg,w_3ff114c,False,1050,707,1.4851485148514851
00f5927ae.jpg,new_whale,False,879,584,1.50513698630137
00fee3975.jpg,w_a9304b9,False,1050,700,1.5
01043cc4b.jpg,new_whale,False,1050,525,2.0
0108c3e2b.jpg,new_whale,False,1050,525,2.0
010a1f0eb.jpg,new_whale,True,1050,600,1.75
011258703.jpg,w_8be8406,False,1050,700,1.5
0117ac323.jpg,w_4516d31,False,1050,751,1.3981358189081226
0118a64b8.jpg,w_dd00c66,False,1050,700,1.5
01216c238.jpg,w_396c12b,False,1050,700,1.5
01237f1ce.jpg,new_whale,False,1050,503,2.0874751491053676
0124d2989.jpg,w_03270e3,False,1050,701,1.4978601997146932
0135bf774.jpg,new_whale,False,770,513,1.5009746588693957
0138b56d1.jpg,w_5597026,False,1050,600,1.75
0139248b7.jpg,w_8a71ca4,False,1050,693,1.5151515151515151
01396f4d1.jpg,new_whale,False,1050,700,1.5
01425e516.jpg,w_581ba42,False,1050,700,1.5
014c0deb5.jpg,w_13c1b55,False,1050,633,1.6587677725118484
014c130f2.jpg,new_whale,False,1050,525,2.0
015889aa3.jpg,new_whale,True,1050,600,1.75
01598711e.jpg,w_3de579a,False,1050,600,1.75
016173748.jpg,new_whale,True,1050,600,1.75
0163ab035.jpg,w_6189444,False,1050,760,1.381578947368421
016768c94.jpg,w_9769f0b,False,930,620,1.5
016ac2f79.jpg,w_688590b,False,1050,699,1.502145922746781
016af7b1e.jpg,new_whale,True,991,566,1.7508833922261484
