Image,Id,BW,W,H,AR
e7c0d4f20.jpg,w_28c330c,False,1050,681,1.5418502202643172
20c2f5b8d.jpg,w_4e13e82,False,1050,600,1.75
557986e52.jpg,w_1029215,False,1050,700,1.5
644a37c7f.jpg,w_decafbd,False,1050,332,3.1626506024096384
263e7193a.jpg,w_e0ca4f5,False,1050,600,1.75
0f2507540.jpg,w_9de2647,True,1050,564,1.8617021276595744
92c41dd6a.jpg,w_7e9df91,False,1050,525,2.0
d38586948.jpg,w_f37c434,False,1050,309,3.3980582524271843
9f6db48cd.jpg,w_778e474,False,1050,450,2.3333333333333335
c1b007419.jpg,w_fccac74,False,1050,612,1.7156862745098038
7abbdf3cc.jpg,w_53feb91,False,1050,700,1.5
8b5d564d4.jpg,w_7c5b20d,False,900,600,1.5
23e740b76.jpg,w_b9e5911,False,1050,503,2.0874751491053676
09aae8d0f.jpg,w_f75ed58,False,1050,355,2.9577464788732395
e18dc7a00.jpg,w_90c9763,False,1050,601,1.7470881863560732
cdbe490df.jpg,w_0fb38fe,False,1050,332,3.1626506024096384
2c2133e64.jpg,w_9a9a2c8,False,1050,703,1.4935988620199145
d0b96c2e9.jpg,w_5793f1c,False,1050,700,1.5
bb65a9932.jpg,w_5a3cd6d,False,617,346,1.783236994219653
fc5c296f8.jpg,w_0369a5c,False,1050,600,1.75
ea9b121c6.jpg,w_31154fa,False,514,251,2.047808764940239
a5d9e12ce.jpg,w_15b5eb1,False,1050,700,1.5
1f336b396.jpg,w_778e474,False,1050,600,1.75
84b81dae9.jpg,w_5a90eff,False,1050,429,2.4475524475524475
5c8392c30.jpg,w_d3baa35,False,504,174,2.896551724137931
42ea024df.jpg,w_9c68fe8,False,1050,249,4.216867469879518
4d5d6461e.jpg,w_564a34b,False,1050,700,1.5
ac50d12e9.jpg,w_b9e5911,False,1050,250,4.2
38414b63a.jpg,w_97d60b9,False,816,349,2.33810888252149
1a9116d41.jpg,w_9f2fb13,False,1050,675,1.5555555555555556
6622b7f2c.jpg,w_939423d,False,856,323,2.65015479876161
ee949ebcd.jpg,w_04c9b23,True,1010,577,1.7504332755632583
1289972ea.jpg,w_8cb5e04,False,1050,700,1.5
d4fe02c73.jpg,w_4f9c015,False,1050,700,1.5
65fab0c29.jpg,w_37e61c2,False,1050,600,1.75
16504a584.jpg,w_84b255f,False,1050,700,1.5
00355ff28.jpg,w_cb622a2,False,1050,285,3.6842105263157894
c100bf03e.jpg,w_4fadedd,False,1050,253,4.150197628458498
41428391b.jpg,w_8cad422,False,1050,600,1.75
4d1c3fcb1.jpg,w_16c264e,False,900,600,1.5
d0832cf32.jpg,w_ccf3551,False,1016,605,1.6793388429752065
429b1a1b7.jpg,w_d7aad03,False,1050,359,2.9247910863509747
e88588ee0.jpg,w_ef83760,False,659,302,2.1821192052980134
dd7dda741.jpg,w_8d33cf5,False,1011,591,1.7106598984771573
bdeda7695.jpg,w_accb0cb,True,1147,369,3.1084010840108403
cc42d76b1.jpg,w_194bea2,False,1050,663,1.583710407239819
5856c176a.jpg,w_ab7c369,False,1050,601,1.7470881863560732
77b0e2b39.jpg,w_d44dfdc,True,700,401,1.745635910224439
f0ead6f09.jpg,w_518a722,False,1050,229,4.585152838427947
2b3a4a5d9.jpg,w_a371235,False,1050,525,2.0
ec8d7c141.jpg,w_0532483,False,702,468,1.5
f737da670.jpg,w_4c0a2c9,False,1050,591,1.7766497461928934
32991140f.jpg,w_db68456,False,1023,585,1.7487179487179487
f599ff96e.jpg,w_d3b48ef,False,1050,700,1.5
5fe9cf09b.jpg,w_579e5f0,False,1050,450,2.3333333333333335
257c3892a.jpg,w_6dbfd7a,False,1050,701,1.4978601997146932
1168aa230.jpg,w_4fa0ba1,False,1050,582,1.8041237113402062
f391d5d90.jpg,w_0ee7878,False,1050,386,2.7202072538860103
22f2facde.jpg,w_e99e430,False,1050,591,1.7766497461928934
1c351b88e.jpg,w_f48451c,False,1050,700,1.5
62336e4c5.jpg,w_4eb6bcc,False,1050,700,1.5
b444ac21e.jpg,w_1be76f5,False,625,384,1.6276041666666667
02c47bf28.jpg,w_2f5caa9,True,1050,600,1.75
0b2565d62.jpg,w_d892cd9,False,1050,700,1.5
5bb40f99a.jpg,w_102821e,False,1050,372,2.8225806451612905
82233a173.jpg,w_6ca0970,False,690,478,1.4435146443514644
b055cd778.jpg,w_d9aecac,False,774,516,1.5
9d83a3f97.jpg,w_69b5ace,False,1050,700,1.5
9d2027918.jpg,w_7f0d18a,False,1050,340,3.088235294117647
3b2213a72.jpg,w_f1b6eea,False,1050,780,1.3461538461538463
756a162d6.jpg,w_8193215,False,1050,726,1.4462809917355373
9deabc19a.jpg,w_c11f9d8,False,553,237,2.3333333333333335
eaa649f65.jpg,w_7f762d8,False,1050,700,1.5
d916c6dd0.jpg,w_16dfac7,False,1050,591,1.7766497461928934
80b660205.jpg,w_4846b27,False,1050,510,2.0588235294117645
316e4ed92.jpg,w_15951db,False,1050,700,1.5
655bd57fc.jpg,w_e2372d6,False,867,376,2.3058510638297873
2e50b362a.jpg,w_249346b,True,1004,414,2.42512077294686
aa84e47c8.jpg,w_bfbf205,False,1050,409,2.567237163814181
17b98f2b8.jpg,w_5ce9577,False,1050,450,2.3333333333333335
ab1156ad6.jpg,w_7c27fbd,False,1050,356,2.949438202247191
80156cbb8.jpg,w_59052ad,False,930,620,1.5
6c2b3fe29.jpg,w_60f11fb,False,1000,666,1.5015015015015014
7995fb391.jpg,w_5f5f9ae,False,1050,369,2.845528455284553
982e8ab63.jpg,w_694a615,False,1050,700,1.5
cf2d92762.jpg,w_08630fd,False,1050,700,1.5
1f33c5a79.jpg,w_252d315,False,1000,667,1.4992503748125936
c0ce51850.jpg,w_c2397a4,False,1050,525,2.0
8d1ae41df.jpg,w_afb4a42,False,1050,525,2.0
2904bd9b1.jpg,w_b035775,False,1050,700,1.5
5676e0ce2.jpg,w_2b069ba,False,1050,600,1.75
6c42cf29d.jpg,w_0135f5f,False,1050,700,1.5
