Image,Id,BW,W,H,AR
e7c0d4f20.jpg,w_28c330c,False,1050,681,1.5418502202643172
20c2f5b8d.jpg,w_4e13e82,False,1050,600,1.75
557986e52.jpg,w_1029215,False,1050,700,1.5
644a37c7f.jpg,w_decafbd,False,1050,332,3.1626506024096384
263e7193a.jpg,w_e0ca4f5,False,1050,600,1.75
0f2507540.jpg,w_9de2647,True,1050,564,1.8617021276595744
92c41dd6a.jpg,w_7e9df91,False,1050,525,2.0
d38586948.jpg,w_f37c434,False,1050,309,3.3980582524271843
9f6db48cd.jpg,w_778e474,False,1050,450,2.3333333333333335
c1b007419.jpg,w_fccac74,False,1050,612,1.7156862745098038
7abbdf3cc.jpg,w_53feb91,False,1050,700,1.5
8b5d564d4.jpg,w_7c5b20d,False,900,600,1.5
23e740b76.jpg,w_b9e5911,False,1050,503,2.0874751491053676
09aae8d0f.jpg,w_f75ed58,False,1050,355,2.9577464788732395
e18dc7a00.jpg,w_90c9763,False,1050,601,1.7470881863560732
cdbe490df.jpg,w_0fb38fe,False,1050,332,3.1626506024096384
2c2133e64.jpg,w_9a9a2c8,False,1050,703,1.4935988620199145
d0b96c2e9.jpg,w_5793f1c,False,1050,700,1.5

