Image,Id,BW,W,H,AR
a80e77380.jpg,w_2e45865,False,928,619,1.4991922455573505
abca0c3b1.jpg,w_925332d,False,1050,701,1.4978601997146932
c8a5ab55c.jpg,w_523fb3a,False,1050,391,2.6854219948849103
57ab7d806.jpg,w_01ed442,False,1050,366,2.8688524590163933
2c1d459b0.jpg,w_a16169d,False,1050,701,1.4978601997146932
a928926f0.jpg,w_10f4afc,False,1050,303,3.4653465346534653
0206722e5.jpg,w_5833b3d,False,889,455,1.9538461538461538
9fe108826.jpg,w_bafa095,False,1050,600,1.75
a6e8a96a7.jpg,w_29d806a,False,1050,450,2.3333333333333335
dcd75585e.jpg,w_68ae353,False,1050,688,1.5261627906976745
795f6ce8a.jpg,w_99f5a1a,False,1050,700,1.5
038b50a77.jpg,w_31d1d50,False,1050,700,1.5
7651a79d9.jpg,w_73e5b74,False,997,662,1.5060422960725075
7b41aff72.jpg,w_bace126,False,1050,700,1.5
19435150c.jpg,w_f2fd557,True,1800,700,2.5714285714285716
fdda50025.jpg,w_29e8496,False,933,549,1.6994535519125684
c98861273.jpg,w_36fdacd,False,1050,700,1.5
6a22c9c31.jpg,w_832917d,False,1050,318,3.30188679245283
197851aa0.jpg,w_e3fb839,False,1050,700,1.5
efe2325c9.jpg,w_effbe89,False,1050,478,2.196652719665272
3fc5a14b5.jpg,w_eb31833,False,1050,490,2.142857142857143
8aaef0a4f.jpg,w_19bd11d,False,583,250,2.332
c71118059.jpg,w_c1c5512,False,1050,701,1.4978601997146932
aad402c91.jpg,w_8141e4e,False,786,172,4.569767441860465
2f77dc5d7.jpg,w_82c744e,False,1050,807,1.3011152416356877
47a93852a.jpg,w_06ffb30,True,1050,600,1.75
3c8e569cd.jpg,w_f5aadde,False,1050,335,3.1343283582089554
492f18f16.jpg,w_9bde64d,False,1050,701,1.4978601997146932
985cc94d7.jpg,w_81ee2ec,True,700,500,1.4
490ba4bcc.jpg,w_8b03a7f,False,1050,700,1.5
6fbaa9b71.jpg,w_c057db0,False,1050,400,2.625
ff38442fa.jpg,w_3e18700,True,2116,661,3.201210287443268
bd2df78d4.jpg,w_919f33b,False,1050,700,1.5
48ef7da36.jpg,w_6d59878,False,1050,232,4.525862068965517
95ab0a0cc.jpg,w_c06798f,False,1050,525,2.0
5c4bd8afe.jpg,w_167a348,False,1050,700,1.5
90b33d79b.jpg,w_d0bf381,False,1050,525,2.0
798e29af3.jpg,w_4be6d99,False,1050,715,1.4685314685314685
7cc3fea16.jpg,w_50155e6,False,1050,450,2.3333333333333335
cb018d425.jpg,w_aee06ab,False,1050,450,2.3333333333333335
d63615567.jpg,w_68b59dd,True,702,415,1.691566265060241
2ec44f5f7.jpg,w_3511bc7,True,707,496,1.4254032258064515
bfe973be0.jpg,w_9852689,False,1050,387,2.7131782945736433
d5b8dfdba.jpg,w_248381e,False,1050,357,2.9411764705882355
6d5f9a710.jpg,w_d3e5689,False,1050,450,2.3333333333333335
922811b2a.jpg,w_5fcf350,False,1050,700,1.5
6cbf5b4e1.jpg,w_62ff333,False,1050,450,2.3333333333333335
d063e1e14.jpg,w_465e27a,False,1050,521,2.015355086372361
77bcf8a3b.jpg,w_a94ea72,False,1050,703,1.4935988620199145
e20c81af9.jpg,w_9b9602c,False,1050,450,2.3333333333333335
6487646c0.jpg,w_eae373b,False,1050,490,2.142857142857143
26bda8d0d.jpg,w_98b6b97,False,1050,450,2.3333333333333335
a51759821.jpg,w_d3cb902,False,900,600,1.5
4e85fcdbe.jpg,w_1e99233,False,1050,700,1.5
664de15b2.jpg,w_44e59c7,False,1050,403,2.6054590570719602
7df91b0d5.jpg,w_3ae4d85,True,1050,600,1.75
7861e836b.jpg,w_f6bae1a,False,1050,700,1.5
64a12e7f5.jpg,w_c18dafe,False,900,450,2.0
0f682c30e.jpg,w_e0b6a42,False,1050,450,2.3333333333333335
4647e2016.jpg,w_bdb0a25,True,700,500,1.4
053050f19.jpg,w_203042e,False,1050,450,2.3333333333333335
68a93e30b.jpg,w_c89981f,False,1050,700,1.5
dba8eae48.jpg,w_70a2a2f,False,1050,525,2.0
e7edfbc8f.jpg,w_bc9188e,False,1050,700,1.5
026345181.jpg,w_2e4af64,False,1050,700,1.5
3745b5b50.jpg,w_0dfc1eb,False,1050,600,1.75
d2593c417.jpg,w_d13848b,False,1050,525,2.0
cd14c3a72.jpg,w_dd18ea8,False,983,517,1.9013539651837523
4ad48bc03.jpg,w_21b94e3,False,900,599,1.5025041736227045
9473fd838.jpg,w_e93b569,False,1050,321,3.2710280373831777
e8d1379ff.jpg,w_8d1a7ba,False,1050,525,2.0
febb18625.jpg,w_6568270,False,1050,818,1.2836185819070904
66f45c17b.jpg,w_289778b,False,1050,701,1.4978601997146932
4e5e465de.jpg,w_b5d72cb,False,1050,449,2.338530066815145
5d425bd02.jpg,w_0ac1b5f,False,1050,600,1.75
bad53671c.jpg,w_2330989,False,1050,701,1.4978601997146932
2d607258a.jpg,w_59d1835,False,808,404,2.0
7cc6c9198.jpg,w_e026c82,False,657,326,2.0153374233128836
6d22fb156.jpg,w_eaf9662,True,700,400,1.75
c5dbd96cf.jpg,w_fee1e3e,False,1050,600,1.75
86556a848.jpg,w_f737a6c,False,1050,432,2.4305555555555554
6d7614d10.jpg,w_fd3a3f0,False,879,584,1.50513698630137
a63500072.jpg,w_b4ab5b5,True,1833,644,2.8462732919254656
4f4187123.jpg,w_2cd7341,False,1050,751,1.3981358189081226
64fac1e25.jpg,w_fb52b93,False,1050,525,2.0
380f34938.jpg,w_d31f7e6,False,1050,265,3.9622641509433962
