Image,Id,BW,W,H,AR
386f9e530.jpg,w_2df85e7,False,718,307,2.3387622149837135
3d79cf9f3.jpg,w_2df85e7,False,1050,700,1.5
54563e691.jpg,w_2df85e7,False,1050,496,2.1169354838709675
659b605a1.jpg,w_2df85e7,False,1050,450,2.3333333333333335
81727689e.jpg,w_2df85e7,False,1050,700,1.5
9a0753034.jpg,w_2df85e7,False,1050,450,2.3333333333333335
a5cd68ee6.jpg,w_2df85e7,False,984,562,1.7508896797153024
a89142360.jpg,w_2df85e7,False,1011,433,2.3348729792147807
adf0177d3.jpg,w_2df85e7,False,1050,450,2.3333333333333335
c80df3dd7.jpg,w_2df85e7,False,1050,426,2.464788732394366
d32381eb3.jpg,w_2df85e7,False,1050,591,1.7766497461928934
e75fffc96.jpg,w_2df85e7,False,1050,450,2.3333333333333335
f84e01a03.jpg,w_2df85e7,False,1050,450,2.3333333333333335
16942730a.jpg,w_15805cd,False,1050,390,2.6923076923076925
2b19c92e6.jpg,w_15805cd,False,1050,515,2.0388349514563107
43393208a.jpg,w_15805cd,False,1050,700,1.5
474195c88.jpg,w_15805cd,False,1050,359,2.9247910863509747
4f4205526.jpg,w_15805cd,False,1050,601,1.7470881863560732
84e2e177d.jpg,w_15805cd,False,1037,691,1.5007235890014472
9a557dede.jpg,w_15805cd,False,987,379,2.604221635883905
af40a97d0.jpg,w_15805cd,False,1050,346,3.0346820809248554
be84ef990.jpg,w_15805cd,False,1050,304,3.4539473684210527
ecfe32f49.jpg,w_15805cd,False,678,372,1.8225806451612903
f1666f045.jpg,w_15805cd,False,1050,308,3.409090909090909
2e73fc51e.jpg,w_0fdf741,False,1050,505,2.0792079207920793
35f4646de.jpg,w_0fdf741,False,868,229,3.7903930131004366
4352bc4c7.jpg,w_0fdf741,False,1050,315,3.3333333333333335
5003d7331.jpg,w_0fdf741,False,1050,257,4.085603112840467
6d4adb609.jpg,w_0fdf741,False,1050,533,1.9699812382739212
7bb433961.jpg,w_0fdf741,False,1050,340,3.088235294117647
90fed4cc6.jpg,w_0fdf741,False,1050,325,3.230769230769231
a98abe52b.jpg,w_0fdf741,False,1050,284,3.6971830985915495
b7bf7541d.jpg,w_0fdf741,False,1050,409,2.567237163814181
d4d5d021c.jpg,w_0fdf741,False,1050,354,2.9661016949152543
e67ec3116.jpg,w_0fdf741,False,1050,342,3.0701754385964914
f7802f07b.jpg,w_0fdf741,False,1050,346,3.0346820809248554
41d561a2d.jpg,w_d066f46,False,1050,600,1.75
443a9c25f.jpg,w_d066f46,False,1050,707,1.4851485148514851
472fc49d1.jpg,w_d066f46,False,1050,700,1.5
5bca65489.jpg,w_d066f46,False,896,506,1.7707509881422925
6072a3187.jpg,w_d066f46,False,1050,300,3.5
66e41dea0.jpg,w_d066f46,False,1050,332,3.1626506024096384
74e611f3c.jpg,w_d066f46,False,1000,682,1.466275659824047
7ddc0598a.jpg,w_d066f46,False,626,358,1.7486033519553073
97259e618.jpg,w_d066f46,False,947,371,2.5525606469002695
9ab721184.jpg,w_d066f46,False,1050,531,1.9774011299435028
aa903da4c.jpg,w_d066f46,False,1050,345,3.0434782608695654
aaf65373d.jpg,w_d066f46,False,1050,600,1.75
c4160ee65.jpg,w_d066f46,False,895,596,1.5016778523489933
d65a3a18b.jpg,w_d066f46,False,1050,704,1.4914772727272727
f3ac242ab.jpg,w_d066f46,False,1050,591,1.7766497461928934
f82a7cd13.jpg,w_d066f46,False,1050,700,1.5
1783ad1c3.jpg,w_17b0d3a,False,1050,600,1.75
229bf3faf.jpg,w_17b0d3a,False,1050,368,2.8532608695652173
2c2076684.jpg,w_17b0d3a,False,1050,700,1.5
2d06946f9.jpg,w_17b0d3a,False,1050,600,1.75
4696b53f7.jpg,w_17b0d3a,False,1050,600,1.75
484518aed.jpg,w_17b0d3a,False,895,511,1.75146771037182
4b227fe93.jpg,w_17b0d3a,False,1050,700,1.5
5cbc1f469.jpg,w_17b0d3a,False,871,338,2.576923076923077
5dade3ee3.jpg,w_17b0d3a,False,1050,700,1.5
5e8f3a16b.jpg,w_17b0d3a,False,1050,600,1.75
5f37a8fb3.jpg,w_17b0d3a,False,873,498,1.7530120481927711
728573c50.jpg,w_17b0d3a,False,1050,600,1.75
