conv1.weight torch.Size([8, 3, 3, 3])
conv1.bias torch.Size([8])
conv2.weight torch.Size([16, 8, 3, 3])
conv2.bias torch.Size([16])
dense_hidden.weight torch.Size([512, 8464])
dense_hidden.bias torch.Size([512])
embed.weight torch.Size([100, 512])
embed.bias torch.Size([100])
000.0000: train 0.018, dev 0.053
001.0000: train 0.024, dev 0.015
002.0000: train 0.018, dev 0.053
003.0000: train 0.018, dev 0.046
004.0000: train 0.012, dev 0.038
005.0000: train 0.014, dev 0.076
006.0000: train 0.024, dev 0.061
007.0000: train 0.028, dev 0.031
008.0000: train 0.028, dev 0.031
009.0000: train 0.016, dev 0.053
010.0000: train 0.024, dev 0.038
011.0000: train 0.016, dev 0.046
012.0000: train 0.014, dev 0.053
013.0000: train 0.016, dev 0.038
014.0000: train 0.022, dev 0.069
015.0000: train 0.028, dev 0.069
016.0000: train 0.030, dev 0.053
017.0000: train 0.022, dev 0.038
018.0000: train 0.006, dev 0.031
019.0000: train 0.018, dev 0.031
020.0000: train 0.024, dev 0.046
021.0000: train 0.028, dev 0.038
022.0000: train 0.026, dev 0.061
023.0000: train 0.020, dev 0.061
024.0000: train 0.022, dev 0.031
025.0000: train 0.018, dev 0.069
026.0000: train 0.026, dev 0.061
027.0000: train 0.024, dev 0.069
028.0000: train 0.016, dev 0.069
029.0000: train 0.014, dev 0.061
030.0000: train 0.026, dev 0.069
031.0000: train 0.024, dev 0.076
032.0000: train 0.032, dev 0.061
033.0000: train 0.020, dev 0.046
034.0000: train 0.024, dev 0.023
035.0000: train 0.040, dev 0.084
036.0000: train 0.026, dev 0.046
037.0000: train 0.016, dev 0.053
038.0000: train 0.032, dev 0.023
039.0000: train 0.018, dev 0.053
040.0000: train 0.044, dev 0.031
041.0000: train 0.054, dev 0.031
042.0000: train 0.022, dev 0.046
043.0000: train 0.016, dev 0.046
044.0000: train 0.030, dev 0.046
045.0000: train 0.034, dev 0.038
046.0000: train 0.030, dev 0.038
047.0000: train 0.046, dev 0.053
048.0000: train 0.044, dev 0.038
049.0000: train 0.038, dev 0.061
050.0000: train 0.012, dev 0.031
051.0000: train 0.030, dev 0.046
052.0000: train 0.024, dev 0.046
053.0000: train 0.034, dev 0.023
054.0000: train 0.030, dev 0.061
055.0000: train 0.040, dev 0.053
056.0000: train 0.028, dev 0.031
057.0000: train 0.026, dev 0.038
058.0000: train 0.036, dev 0.038
059.0000: train 0.038, dev 0.076
060.0000: train 0.034, dev 0.061
061.0000: train 0.032, dev 0.053
062.0000: train 0.026, dev 0.053
063.0000: train 0.046, dev 0.069
064.0000: train 0.012, dev 0.031
065.0000: train 0.030, dev 0.031
066.0000: train 0.042, dev 0.053
067.0000: train 0.044, dev 0.092
068.0000: train 0.020, dev 0.076
069.0000: train 0.052, dev 0.046
070.0000: train 0.024, dev 0.053
071.0000: train 0.024, dev 0.031
072.0000: train 0.038, dev 0.061
073.0000: train 0.032, dev 0.053
074.0000: train 0.036, dev 0.038
075.0000: train 0.036, dev 0.038
076.0000: train 0.022, dev 0.107
077.0000: train 0.042, dev 0.069
078.0000: train 0.046, dev 0.038
079.0000: train 0.030, dev 0.061
080.0000: train 0.030, dev 0.023
081.0000: train 0.036, dev 0.053
082.0000: train 0.034, dev 0.046
083.0000: train 0.016, dev 0.053
084.0000: train 0.040, dev 0.038
085.0000: train 0.036, dev 0.031
086.0000: train 0.020, dev 0.069
087.0000: train 0.044, dev 0.076
088.0000: train 0.046, dev 0.053
089.0000: train 0.040, dev 0.031
090.0000: train 0.032, dev 0.069
091.0000: train 0.034, dev 0.046
092.0000: train 0.034, dev 0.046
093.0000: train 0.028, dev 0.053
094.0000: train 0.034, dev 0.084
095.0000: train 0.032, dev 0.076
096.0000: train 0.026, dev 0.053
097.0000: train 0.050, dev 0.061
098.0000: train 0.034, dev 0.061
099.0000: train 0.042, dev 0.076
